Earthquake catalog from the bulletin of National Seismological Center, Department of Mines and Geology, Kathmandu, Nepal.

(Date in AD and time in UTC)

     Date        Time      Latitude     Longitude    Magnitude    Epicenter
2015-07-08      04:10      27.92        85.68         4.2          Sindhupalchok
2015-07-07      09:31      29.69        81.74         4.6          Bajura
2015-07-07      03:21      28.48        83.13         4.2          Baglung
2015-07-06      15:29      27.96        85.75         4.4          Sindhupalchok
2015-07-06      05:03      27.69        86.2         4.3          Dolakha
2015-07-05      19:42      27.86        85.87         4.4          Sindupalchok
2015-07-05      04:22      27.67        86.2         4.2          Dolakha
2015-07-04      20:04      27.73        85         4.6          Dhading
2015-07-02      23:41      27.67        85.54         4.1          Kavre
2015-07-02      01:56      27.97        85.62         5          Sindhupalchowk
2015-07-01      21:48      27.8        85.74         4          Sindhupalchowk
2015-07-01      09:39      28.06        85.14         4          Nuwakot
2015-07-01      03:27      27.71        86.12         4          Dolakha
2015-06-30      21:46      27.55        85.79         4.4          Kavre
2015-06-29      23:57      27.35        86.2         5          Ramechhap
2015-06-29      17:49      27.93        85.64         4          Sindhupalchowk
2015-06-29      17:42      27.92        85.68         4.1          Sindhupalchowk
2015-06-28      16:16      27.92        85.66         4.3          Sindhupalchok
2015-06-26      12:17      27.74        86.28         4.2          Dolakha
2015-06-26      09:00      27.58        85.39         4.1          Lalitpur
2015-06-25      18:06      27.94        85.49         4.2          Sindhupalchok
2015-06-25      18:04      27.66        86.21         4.1          Dolakha
2015-06-25      15:22      27.78        85.17         4.3          Nuwakot
2015-06-24      09:14      27.85        85.75         4          Sindhupalchowk
2015-06-22      07:34      27.67        86.17         4          Dolakha
2015-06-21      13:41      27.8        86         4.3          Sindupalchok
2015-06-20      20:55      28.17        84.94         4.2          Gorkha
2015-06-20      12:23      28.65        82.76         5.4          Rukum
2015-06-19      20:05      28.26        84.92         4          Gorkha
2015-06-18      02:39      28.14        85.11         4.1          Dhading
2015-06-17      02:15      28.27        85.94         5.1          Tibet
2015-06-17      00:41      27.9        85.58         4          Sindhupalchok
2015-06-17      00:29      27.91        85.59         5.2          Sindhupalchok
2015-06-17      00:13      27.68        85.28         4.4          Kathmandu
2015-06-16      16:11      27.7        86.16         4.1          Dolakha
2015-06-15      10:07      27.87        85.72         4.1          Sindhupalchowk
2015-06-14      09:16      27.74        86.26         4.1          Dolakha
2015-06-14      00:14      27.8        85.15         4.2          Nuwakot
2015-06-13      01:18      27.73        86.16         5.2          Dolakha
2015-06-12      19:37      28.21        84.81         4.6          Gorkha
2015-06-12      04:34      27.67        86.09         4.4          Dolakha
2015-06-11      18:41      27.67        86.07         4          Dolakha
2015-06-11      16:12      27.96        85.73         5.3          Sindhupalchowk
2015-06-11      04:17      27.8        85.78         4.6          Sindhupalchowk
2015-06-10      21:05      27.87        85.81         4.1          Sindhupalchowk
2015-06-10      09:06      27.62        86.1         4.2          Dolakha
2015-06-10      07:51      27.8        85.61         4.3          Sindhupalchowk
2015-06-07      16:50      27.87        86.13         4.1          Dolakha
2015-06-07      05:17      27.9        85.64         4.6          Sindhupalchowk
2015-06-06      20:48      28.26        85.86         4.2          Tibet
2015-06-06      17:00      27.58        86.18         4          Dolakha
2015-06-05      08:31      27.7        85.22         4          Kathmandu
2015-06-05      04:17      27.79        85.78         4.1          Sindhupalchowk
2015-06-04      10:30      27.76        86.2         4          Dolakha
2015-06-03      21:00      27.84        85.78         4.1          Sindhupalchowk
2015-06-03      11:53      27.7        86.26         4.5          Dolakha
2015-06-03      08:54      27.76        86.07         4.2          Dolakha
2015-06-03      07:52      27.79        85.87         4.5          Sindhupalchowk
2015-06-02      08:33      30        81.75         4.7          Humla
2015-06-02      05:03      27.78        86.2         4          Dolakha
2015-06-01      22:50      27.98        85.51         4          Sindhupalchowk
2015-05-31      01:54      28.29        84.46         4.2          Lamjung
2015-05-30      10:13      27.79        85.17         4.5          Nuwakot
2015-05-30      08:35      28.01        85.19         4          Rasuwa
2015-05-30      01:52      27.75        85.21         4          Dhading
2015-05-29      12:37      27.82        86.34         4.2          Dolakha
2015-05-29      12:30      28.01        84.84         4.8          Dhading
2015-05-29      08:30      28.17        84.72         4          Gorkha
2015-05-29      05:20      28.07        84.94         4.2          Dhading
2015-05-29      03:44      28        84.98         5.2          Dhading
2015-05-28      12:14      27.59        86.16         4.1          Dolakha
2015-05-28      11:36      27.59        86.19         4.2          Dolakha
2015-05-28      10:16      27.94        85.54         4          Sindhupalchowk
2015-05-28      05:29      27.77        86.25         4.2          Dolakha
2015-05-28      05:12      27.64        85.31         4          Kathmandu
2015-05-28      03:40      27.95        84.8         4          Dhading
2015-05-28      03:07      27.99        84.79         4          Dhading
2015-05-27      12:03      27.59        86.2         4.2          Dolakha
2015-05-27      10:29      28.04        85.13         4.2          Nuwakot
2015-05-27      01:16      27.89        85.53         4.6          Sindhupalchowk
2015-05-27      01:15      27.91        85.53         4.5          Sindhupalchowk
2015-05-26      10:52      28.02        85.26         5          Rasuwa
2015-05-26      08:00      27.54        85.43         4.3          Lalitpur
2015-05-26      06:39      27.71        86.05         4.1          Dolakha
2015-05-26      05:48      27.63        86.3         4.1          Dolakha
2015-05-26      02:11      27.84        86.24         4.3          Dolakha
2015-05-25      11:00      27.71        86.07         4.1          Dolakha
2015-05-25      10:16      27.74        86.19         4.4          Dolakha
2015-05-25      03:23      28.01        84.68         5          Gorkha
2015-05-24      12:55      27.8        86.29         4.4          Dolakha
2015-05-24      11:46      27.84        86         4.2          Sindhupalchowk
2015-05-24      11:15      27.76        86.26         4.3          Dolakha
2015-05-24      10:38      27.76        86.28         4.4          Dolakha
2015-05-24      07:06      27.67        86.18         4.2          Dolakha
2015-05-23      10:26      27.9        85.51         4.4          Sindhupalchok
2015-05-23      01:14      27.74        86.2         4.2          Dolakha
2015-05-22      08:44      27.69        86.16         4.1          Dolakha
2015-05-22      07:07      30.31        81.47         4.8          Humla
2015-05-22      06:49      27.78        85.93         4          Sindhupalchowk
2015-05-22      05:30      27.63        86.25         4.1          Dolakha
2015-05-22      04:44      28.05        85.08         4.8          Nuwakot
2015-05-22      02:45      27.79        85.14         4.2          Nuwakot
2015-05-21      07:30      28.02        84.98         4          Dhading
2015-05-21      02:56      27.93        85.46         4          Nuwakot
2015-05-21      02:11      27.85        86.32         4.2          Dolakha
2015-05-20      11:10      27.84        86.33         4.2          Dolakha
2015-05-20      02:47      27.52        85.26         4.4          Lalitput
2015-05-19      11:29      27.9        85.99         4          Sindhupalchowk
2015-05-19      04:44      27.92        86.04         4.2          Sindhupalchowk
2015-05-19      04:34      27.66        86.03         4.3          Dolakha
2015-05-18      11:24      27.69        86.26         4          Dolakha
2015-05-18      09:11      27.71        86.07         4.2          Dolakha
